VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitLoad,InitFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
V001,80.0,191.11,CD01-C014-E006-C002-C006-C005-E001-CD01,4,0-10-0-25-17-15-0-0,80.0,191.11,0,0,2524.43,2107.77,0,11756095.35
V002,60.0,167.78,CD01-C009-C011-C003-C007-E001-CD01,4,0-11-10-22-12-0-0,60.0,167.78,0,0,2723.02,2272.84,0,12674525.6
V003,50.0,144.44,CD01-C010-E011-E005-C001-C013-CD01,3,0-9-0-0-30-8-0,50.0,144.44,0,0,2651.83,2259.57,0,12352166.45
V004,40.0,122.22,CD01-E001-C008-C012-CD01,2,0-0-10-7-0,40.0,122.22,0,0,205.99,163.84,0,1031516.2
V005,30.0,96.67,CD01-E001-C004-CD01,1,0-0-18-0,30.0,96.67,0,0,258.58,213.77,0,1275692.0
