VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitialLoad,InitialFuel,Distance,Time,TotalCost
V001,130,5.666666666666667,CD01-C013-C022-C015-C004-C001-C024-C016-C010-CD01,8,21-18-17-15-13-11-10-15,120,1.5475866666666669,46.427600000000005,77.35000000000002,25225.66266666667
V002,140,6.666666666666667,CD01-C006-C018-C005-C008-C009-C011-C017-CD01,7,17-12-20-20-20-17-25,131,1.7325966666666666,51.9779,86.48,28241.325666666668
V003,120,6.0,CD01-C002-C019-C007-C021-CD01,4,15-11-17-14,57,1.2596066666666665,37.788199999999996,58.806666666666665,20531.588666666667
V004,100,3.0,CD01-C023-CD01,1,15,15,0.3788266666666667,11.3648,23.141666666666666,6174.8746666666675
V005,70,3.3333333333333335,CD01-C014-CD01,1,15,15,0.34624666666666665,10.3874,21.521666666666665,5643.8206666666665
V006,55,5.666666666666667,CD01-C020-CD01,1,15,15,0.44704,13.4112,25.40666666666667,7286.752
V007,110,5.0,CD01-C003-CD01,1,12,12,0.46598999999999996,13.9797,25.886666666666667,7595.637000000001
V008,114,4.666666666666667,CD01-C012-CD01,1,12,12,0.53749,16.1247,28.02,8761.087000000001
