VehicleId,LoadCap,FuelCap,RouteSeq,Municipalities,Demand,InitLoad,InitFuel,RefuelStops,RefuelAmounts,TollsVisited,TollCosts,VehicleWeights,Distance,Time,FuelCost,TollCost,TotalCost
V001,80.0,191.11111111111111,CD01-P003-E010-E011-P007-CD01-C007-C002-E007-P008-E009-P004-E012-C011-C010,4,17-18-5-9,175.2,191.11111111111111,0,0,4,20000.0-16000.0-0.0-18000.0,25.0-0.0-10.0-38.0,8703.84,7296.75,0.0,54000.0,40395807.75
V002,60.0,167.77777777777777,CD01-P011-P014-P003-CD01-P002-C006-C001-P012-E004-C014,3,17-16-10,175.2,167.77777777777777,0,0,5,0.0-12000.0-20000.0-22000.0-8000.0,0.0-0.0-0.0,6451.13,5145.75,0.0,62000.0,29943964.4
V003,50.0,144.44444444444446,CD01-E007-E009-P003-P008-CD01-C005-C004-P001,2,15-18,175.2,144.44444444444446,0,0,3,20000.0-0.0-25000.0,35.0-0.0,6612.74,5372.77,0.0,45000.0,30688267.75
V004,40.0,166.66666666666666,CD01-P008-P001-E001-P002-P012-C009-CD01-P004-P010-P003-E011-C003,2,11-16,175.2,166.66666666666666,0,0,7,0.0-25000.0-22000.0-8000.0-18000.0-15000.0-20000.0,40.0-35.0,8861.32,7225.95,0.0,108000.0,41147814.1
V005,30.0,96.66666666666667,CD01-P010-P008-CD01-P014-P003-C012-C013-E007-P009-P001,2,7-5,175.2,96.66666666666667,0,0,6,15000.0-0.0-12000.0-20000.0-14000.0-25000.0,50.0-10.0,5657.97,4842.39,0.0,86000.0,26353202.75
V006,10.0,133.33333333333334,CD01-P003-CD01-C008,1,10,175.2,133.33333333333334,0,0,1,20000.0,50.0,2439.78,1953.03,0.0,20000.0,11371955.3
